temperature,humidity,soil_moisture,light_level,health_score,status
24.6,45.6,66.7,0,85,Healthy
52.3,59.3,67.6,1,91,Perfect
31.4,24.6,28.2,0,56,Doing well
31.9,59.5,86.7,0,76,Healthy
30.0,80.7,70.9,1,85,Healthy
9.6,10.6,12.1,1,40,I'm okay
48.7,35.8,84.2,1,67,Doing well
17.4,33.0,30.2,0,52,I'm okay
53.4,64.5,5.6,0,56,Doing well
40.4,52.4,12.0,1,80,Healthy
12.5,36.8,30.4,1,67,Doing well
48.2,21.8,13.8,1,51,I'm okay
50.7,14.7,32.9,0,47,I'm okay
8.5,45.8,76.4,0,65,Doing well
23.0,43.0,29.2,0,76,Healthy
49.4,19.6,27.6,1,62,Doing well
37.0,90.7,92.8,1,71,Doing well
49.3,92.3,71.0,1,71,Doing well
20.0,91.9,6.2,0,45,I'm okay
17.1,22.8,40.9,1,71,Doing well
5.5,11.1,35.5,0,36,Struggling
31.5,36.9,85.2,0,61,Doing well
30.1,45.6,27.5,1,91,Perfect
27.0,12.6,26.7,1,71,Doing well
23.2,45.9,38.0,1,91,Perfect
40.7,63.5,40.0,0,85,Healthy
30.7,37.0,80.2,1,76,Healthy
31.5,81.6,7.1,1,65,Doing well
46.3,11.6,86.0,1,62,Doing well
32.1,83.2,38.2,0,61,Doing well
10.4,63.7,84.1,1,82,Healthy
33.6,30.8,32.2,0,61,Doing well
22.3,41.2,69.0,0,85,Healthy
43.8,35.3,72.4,0,70,Doing well
29.3,41.3,60.0,1,100,Perfect
24.2,80.7,5.8,0,50,I'm okay
36.0,36.7,13.0,1,65,Doing well
15.8,14.3,17.0,0,36,Struggling
18.1,12.3,49.6,0,56,Doing well
30.3,33.3,30.6,0,61,Doing well
15.6,65.1,12.5,1,71,Doing well
16.2,28.4,75.0,1,71,Doing well
40.5,13.6,49.2,1,80,Healthy
53.5,38.4,5.5,1,56,Doing well
48.3,27.8,64.7,0,56,Doing well
15.0,45.0,26.1,0,67,Doing well
41.4,18.9,44.7,1,80,Healthy
21.4,15.7,31.6,0,56,Doing well
41.2,63.0,49.4,0,85,Healthy
19.2,59.9,18.8,1,71,Doing well
39.4,43.4,24.3,1,91,Perfect
41.1,84.0,49.3,0,70,Doing well
7.1,11.3,8.7,0,25,Struggling
21.3,26.1,63.1,1,80,Healthy
46.1,78.5,51.1,1,91,Perfect
31.7,50.7,58.6,0,85,Healthy
17.4,65.1,30.3,0,67,Doing well
11.9,90.6,59.1,1,71,Doing well
52.3,38.9,53.1,0,61,Doing well
6.1,51.7,30.8,1,71,Doing well
25.5,47.0,80.3,1,91,Perfect
28.3,80.5,73.7,0,70,Doing well
41.9,51.2,46.6,1,100,Perfect
14.2,24.4,84.4,0,47,I'm okay
48.8,83.3,71.5,0,61,Doing well
54.4,94.8,46.8,1,71,Doing well
18.3,71.3,31.7,1,82,Healthy
39.6,67.5,33.2,0,76,Healthy
18.8,30.2,82.2,0,52,I'm okay
33.3,71.2,6.6,0,65,Doing well
24.3,11.8,67.4,1,80,Healthy
32.1,38.9,54.9,0,70,Doing well
8.2,55.7,23.6,1,71,Doing well
34.3,43.1,57.1,0,85,Healthy
6.7,17.6,85.3,0,36,Struggling
13.0,47.7,62.0,0,76,Healthy
52.4,86.5,5.9,1,56,Doing well
5.8,85.6,73.6,0,50,I'm okay
37.2,39.1,57.0,1,85,Healthy
53.7,59.1,55.8,1,91,Perfect
45.9,49.9,21.1,1,82,Healthy
35.2,48.0,78.6,1,100,Perfect
29.3,65.9,8.6,0,65,Doing well
25.0,58.9,16.8,1,80,Healthy
31.0,78.4,16.4,0,65,Doing well
31.6,44.2,53.4,0,85,Healthy
53.8,40.4,89.6,0,67,Doing well
46.1,52.1,46.0,0,76,Healthy
12.5,18.4,77.6,1,71,Doing well
20.8,64.0,28.8,0,76,Healthy
9.7,50.3,78.3,1,80,Healthy
40.7,65.4,94.3,1,91,Perfect
52.8,14.5,30.4,1,62,Doing well
44.2,78.0,21.4,1,91,Perfect
6.1,89.9,89.7,0,41,I'm okay
51.1,34.5,10.3,0,41,I'm okay
22.7,19.5,91.9,0,56,Doing well
40.8,72.7,45.4,0,85,Healthy
26.6,73.1,62.1,1,100,Perfect
33.4,33.4,65.9,1,85,Healthy
34.7,49.1,73.1,0,85,Healthy
45.6,46.8,9.0,1,71,Doing well
36.1,27.6,77.1,0,65,Doing well
50.0,72.9,39.4,1,82,Healthy
25.0,68.6,82.6,0,76,Healthy
52.6,81.5,80.4,1,67,Doing well
17.0,65.6,40.3,0,76,Healthy
44.4,30.2,87.3,1,76,Healthy
54.6,90.0,74.4,0,61,Doing well
40.8,60.1,55.4,1,100,Perfect
48.9,80.1,92.5,1,67,Doing well
28.2,77.4,60.6,0,85,Healthy
25.7,51.7,21.3,0,76,Healthy
35.3,56.5,22.2,0,76,Healthy
46.3,36.7,52.1,1,76,Healthy
35.4,71.3,35.0,1,91,Perfect
50.6,44.3,25.8,0,67,Doing well
45.0,20.2,32.6,1,71,Doing well
27.9,23.6,5.3,0,45,I'm okay
30.7,69.4,32.0,1,91,Perfect
18.6,49.6,7.4,0,56,Doing well
47.5,87.1,94.2,0,52,I'm okay
41.9,28.2,89.8,0,56,Doing well
49.6,87.4,10.2,1,56,Doing well
45.5,79.9,30.3,1,82,Healthy
52.3,61.7,66.4,0,76,Healthy
20.7,14.4,34.8,0,56,Doing well
46.8,29.3,53.5,0,56,Doing well
51.5,37.0,38.1,1,67,Doing well
33.4,71.7,88.9,1,91,Perfect
43.3,43.2,45.4,1,100,Perfect
26.5,65.8,20.4,0,76,Healthy
5.2,69.8,45.8,0,65,Doing well
11.2,35.3,45.4,0,61,Doing well
23.3,76.7,20.3,1,91,Perfect
13.2,60.3,74.6,1,91,Perfect
8.9,23.8,66.6,1,60,Doing well
26.0,42.9,71.5,1,100,Perfect
48.4,75.3,36.7,1,82,Healthy
40.6,56.9,6.5,0,65,Doing well
53.3,10.8,9.8,1,51,I'm okay
40.2,29.8,19.2,0,45,I'm okay
29.9,35.2,75.2,1,85,Healthy
34.8,29.7,29.9,0,56,Doing well
10.3,52.1,46.6,0,76,Healthy
17.1,45.8,25.1,0,67,Doing well
47.5,87.5,15.6,1,56,Doing well
21.1,47.3,81.7,1,91,Perfect
51.1,27.6,86.7,0,47,I'm okay
51.5,13.5,6.7,1,51,I'm okay
47.6,51.4,84.0,0,67,Doing well
9.8,52.0,51.0,0,65,Doing well
20.2,54.1,44.7,1,100,Perfect
23.7,52.7,8.9,0,65,Doing well
24.6,51.4,24.2,1,91,Perfect
48.7,82.4,22.3,1,67,Doing well
11.0,79.0,25.8,0,67,Doing well
36.6,31.9,49.8,1,85,Healthy
21.9,47.7,45.4,0,85,Healthy
40.5,84.8,81.8,1,76,Healthy
45.9,59.2,54.5,1,91,Perfect
19.9,32.7,38.6,0,52,I'm okay
36.9,59.5,33.3,1,91,Perfect
7.9,33.0,19.6,0,30,Struggling
7.8,46.7,93.4,0,56,Doing well
10.3,10.4,11.9,1,51,I'm okay
28.2,80.1,40.2,0,70,Doing well
13.9,30.1,20.1,1,67,Doing well
50.2,51.5,39.1,1,82,Healthy
48.4,20.7,30.4,0,47,I'm okay
24.6,29.7,53.0,0,65,Doing well
48.1,74.8,87.4,0,67,Doing well
30.1,73.7,30.0,0,76,Healthy
53.7,85.7,84.1,0,52,I'm okay
36.8,48.5,53.6,1,100,Perfect
5.4,53.7,72.1,1,80,Healthy
29.9,88.6,37.8,1,76,Healthy
33.4,15.4,94.1,1,71,Doing well
5.7,53.6,48.2,0,65,Doing well
32.0,76.5,29.3,1,91,Perfect
20.4,42.2,77.4,1,100,Perfect
34.5,65.5,48.3,0,85,Healthy
51.1,15.3,18.9,0,36,Struggling
33.2,92.0,8.5,0,45,I'm okay
40.8,78.1,82.6,1,91,Perfect
20.5,73.3,93.7,1,91,Perfect
44.3,86.9,18.5,1,65,Doing well
10.6,58.8,49.6,0,76,Healthy
32.0,61.0,88.7,0,76,Healthy
35.1,22.5,79.9,0,65,Doing well
13.4,64.4,59.3,1,91,Perfect
19.0,72.0,82.9,0,67,Doing well
9.2,76.0,13.1,0,45,I'm okay
43.4,71.5,24.0,0,76,Healthy
54.2,50.5,54.4,0,76,Healthy
54.2,75.0,44.4,1,91,Perfect
32.1,41.2,53.0,0,85,Healthy
16.0,56.6,30.9,0,67,Doing well
42.5,50.2,66.9,0,85,Healthy
34.0,51.2,47.4,1,100,Perfect
20.3,23.6,12.5,0,45,I'm okay
50.5,36.8,78.7,0,61,Doing well
55.0,66.3,26.7,1,82,Healthy
36.3,28.5,71.6,1,80,Healthy
13.0,42.6,37.4,0,67,Doing well
7.1,13.7,72.4,0,45,I'm okay
46.6,32.2,90.2,1,67,Doing well
25.9,22.9,35.7,0,56,Doing well
35.3,51.0,24.2,0,76,Healthy
10.1,63.4,50.4,0,76,Healthy
8.9,38.7,78.8,1,65,Doing well
26.2,12.7,63.3,1,80,Healthy
53.8,90.0,84.8,1,67,Doing well
48.5,83.5,46.5,1,76,Healthy
6.0,45.3,91.5,0,56,Doing well
50.7,32.0,78.7,0,61,Doing well
10.6,69.7,93.8,0,67,Doing well
37.4,50.1,40.2,1,100,Perfect
23.8,37.1,37.7,0,61,Doing well
32.4,86.5,78.2,0,70,Doing well
41.5,84.9,33.7,1,76,Healthy
12.3,89.7,18.4,1,56,Doing well
19.1,71.3,77.6,0,76,Healthy
15.9,46.8,9.1,0,56,Doing well
35.1,19.8,30.6,1,71,Doing well
18.7,93.0,79.2,0,56,Doing well
43.0,10.1,72.1,1,80,Healthy
23.3,27.9,78.9,1,80,Healthy
31.8,50.3,18.3,1,80,Healthy
32.9,64.7,69.3,0,85,Healthy
16.9,48.8,6.0,1,71,Doing well
32.2,20.9,72.2,0,65,Doing well
51.5,23.8,43.7,1,71,Doing well
51.3,62.9,57.4,0,76,Healthy
39.2,69.6,37.3,0,76,Healthy
26.6,30.0,5.1,1,65,Doing well
43.4,67.2,7.6,0,65,Doing well
41.7,56.0,94.2,1,91,Perfect
39.3,55.3,10.9,0,65,Doing well
17.1,69.6,17.6,1,71,Doing well
36.2,92.2,35.2,0,56,Doing well
5.6,22.7,79.5,1,60,Doing well
5.5,63.5,85.4,0,56,Doing well
13.5,52.4,76.3,1,91,Perfect
35.8,31.1,12.4,1,65,Doing well
34.6,30.8,44.7,1,85,Healthy
53.0,64.6,65.1,1,91,Perfect
28.3,36.1,21.5,0,61,Doing well
27.3,35.3,76.5,1,85,Healthy
26.4,70.3,5.1,0,65,Doing well
12.5,30.5,61.4,1,76,Healthy
5.8,19.2,40.1,0,45,I'm okay
54.7,31.7,36.3,1,67,Doing well
52.3,25.2,39.3,0,47,I'm okay
33.5,93.2,72.7,1,80,Healthy
49.9,48.8,76.8,0,76,Healthy
48.0,41.6,93.8,0,67,Doing well
24.6,28.0,45.4,0,65,Doing well
