temperature,humidity,soil_percent,light_status,health_score
25.5,56.5,88.7,1,91
33.9,39.3,54.7,0,70
30.4,50.1,12.9,1,80
20.0,59.4,74.6,0,85
15.0,33.9,28.3,1,67
28.9,82.9,46.3,1,85
34.7,48.5,34.6,0,76
25.8,81.3,13.3,0,50
34.5,31.2,49.1,0,70
33.5,58.6,50.5,1,100
18.8,72.5,27.8,0,67
16.2,46.3,79.3,0,76
28.3,35.6,69.2,1,85
28.1,52.0,80.2,0,76
21.7,60.7,94.7,0,76
23.6,54.3,87.4,0,76
26.9,55.9,45.9,0,85
16.9,53.0,82.2,0,67
26.7,31.2,14.6,1,65
22.6,66.9,52.0,0,85
21.1,39.5,36.2,1,76
21.9,33.8,50.7,0,70
27.4,83.5,29.9,0,61
29.9,54.7,40.9,1,100
16.4,40.9,19.1,1,71
31.7,80.1,91.7,1,76
33.1,81.5,91.4,0,61
26.9,46.5,79.0,0,85
33.5,40.4,63.9,1,100
28.0,86.6,47.3,0,70
26.3,52.2,54.2,0,85
31.2,81.9,71.2,0,70
15.1,58.8,18.3,1,71
24.0,32.6,69.2,1,85
23.9,60.9,8.2,1,80
29.2,73.0,76.1,0,85
21.2,67.4,87.3,0,76
17.7,57.2,84.5,1,82
25.8,33.5,14.6,1,65
31.2,71.6,21.1,1,91
24.2,47.5,86.4,0,76
33.3,67.3,37.4,0,76
35.0,86.7,27.7,0,61
26.0,68.8,29.4,0,76
15.4,82.0,73.4,0,61
31.7,82.6,13.1,1,65
33.6,80.2,14.5,1,65
29.0,33.7,10.8,0,50
28.3,80.6,6.1,1,65
18.8,67.2,73.4,1,91
32.0,47.3,8.8,1,80
20.8,52.7,7.8,0,65
30.5,37.9,21.9,1,76
24.7,52.9,22.5,1,91
34.1,69.2,55.0,0,85
21.1,70.9,50.0,1,100
24.9,83.6,17.1,1,65
16.8,72.9,45.3,0,76
25.9,49.7,94.3,1,91
24.7,72.6,62.2,0,85
15.0,32.3,30.2,0,52
21.7,59.0,40.1,0,85
32.9,43.2,91.5,0,76
16.6,56.2,54.5,0,76
22.7,60.1,57.3,0,85
34.3,32.1,17.4,0,50
19.0,53.7,41.3,1,91
24.8,51.1,48.4,0,85
31.3,51.1,58.8,0,85
29.0,77.6,34.8,1,91
25.4,31.8,23.6,0,61
31.7,53.1,37.0,1,91
21.7,83.5,33.8,1,76
15.7,45.1,18.5,0,56
26.6,63.3,73.9,1,100
21.0,33.9,41.3,1,85
16.9,65.5,86.7,1,82
26.1,31.9,32.2,0,61
29.7,31.2,75.6,0,70
30.3,69.0,35.0,0,76
24.2,59.5,63.0,0,85
16.5,44.2,68.9,1,91
21.7,82.5,57.6,0,70
25.9,68.2,68.9,0,85
32.2,90.0,52.0,0,70
33.6,89.1,68.1,1,85
31.9,54.4,40.7,1,100
33.3,74.5,48.1,1,100
19.7,80.5,6.0,0,41
25.4,85.9,22.5,0,61
27.8,54.7,17.1,0,65
28.2,57.2,62.9,1,100
19.8,81.6,69.7,0,61
23.3,66.0,50.9,1,100
21.4,87.4,19.5,0,50
15.8,62.8,21.1,1,82
19.7,54.6,87.4,0,67
25.0,64.9,60.3,0,85
27.6,30.4,32.0,1,76
30.1,70.3,66.1,1,100
29.6,52.8,80.6,1,91
17.1,72.9,41.1,1,91
30.7,82.6,45.3,0,70
21.5,46.1,33.5,1,91
25.4,50.1,27.5,1,91
20.0,59.9,53.9,1,100
18.7,49.7,86.0,1,82
25.6,85.1,39.3,1,76
20.4,73.6,71.0,0,85
27.6,53.4,59.2,1,100
32.3,83.2,45.5,0,70
34.6,43.5,60.5,0,85
15.8,37.5,5.1,0,41
19.0,53.2,10.7,0,56
32.7,42.3,19.6,0,65
27.0,47.5,75.8,0,85
19.9,77.9,26.6,1,82
30.9,72.0,49.4,1,100
32.5,74.9,37.0,0,76
30.5,75.0,87.2,0,76
17.3,69.6,46.1,1,91
21.2,62.5,38.5,0,76
17.3,63.5,43.4,1,91
27.4,55.9,63.6,1,100
21.4,72.7,55.2,0,85
21.6,63.7,44.7,1,100
33.0,78.1,6.7,1,80
24.6,75.9,65.0,0,85
23.2,87.4,78.0,1,85
29.3,54.5,52.1,1,100
19.7,41.9,38.6,0,67
24.6,47.3,38.1,1,91
32.5,33.0,88.1,1,76
25.9,55.9,6.4,1,80
33.5,58.0,51.0,1,100
27.0,38.8,62.3,0,70
17.4,44.7,8.1,1,71
25.9,84.6,66.3,1,85
30.0,60.6,28.7,0,76
27.4,33.2,16.4,1,65
20.8,75.9,92.8,0,76
28.7,40.1,51.3,1,100
29.4,52.0,42.9,0,85
20.9,32.3,19.3,0,50
26.5,64.0,41.9,1,100
33.3,86.8,53.9,1,85
24.3,49.6,35.2,1,91
26.9,55.0,94.5,0,76
17.9,81.3,14.3,0,41
24.4,51.6,93.4,0,76
24.3,38.3,58.8,1,85
21.2,60.3,94.3,1,91
33.0,76.3,56.2,0,85
16.3,82.7,8.5,1,56
32.3,46.4,73.2,0,85
